algorithm_name,env_n,size,best_solution,H,states,time
HCR,18,4,"[2, 0, 3, 1]",0,37,0.000000
SA,18,4,"[1, 3, 0, 2]",0,10,0.000000
GA,18,4,"[1, 3, 0, 2]",0,4,0.004335
random,19,4,"[1, 3, 0, 2]",0,61,0.000000
HC,19,4,"[2, 0, 1, 3]",1,25,0.001173
HCR,19,4,"[1, 3, 0, 2]",0,199,0.000000
SA,19,4,"[2, 0, 3, 1]",0,144,0.001144
GA,19,4,"[1, 3, 0, 2]",0,0,0.000000
random,20,4,"[1, 3, 0, 2]",0,133,0.000000
HC,20,4,"[1, 3, 0, 2]",0,13,0.000000
HCR,20,4,"[1, 3, 0, 2]",0,13,0.000000
SA,20,4,"[2, 0, 3, 1]",0,21,0.000000
GA,20,4,"[1, 3, 0, 2]",0,1,0.002028
random,21,4,"[1, 3, 0, 2]",0,29,0.000000
HC,21,4,"[1, 3, 0, 2]",0,13,0.000000
HCR,21,4,"[1, 3, 0, 2]",0,13,0.000000
SA,21,4,"[1, 3, 0, 2]",0,41,0.001123
GA,21,4,"[1, 3, 0, 2]",0,0,0.000000
random,22,4,"[1, 3, 0, 2]",0,9,0.000000
HC,22,4,"[1, 2, 0, 3]",1,25,0.001003
HCR,22,4,"[1, 3, 0, 2]",0,63,0.000000
SA,22,4,"[2, 0, 3, 1]",0,180,0.000000
GA,22,4,"[1, 3, 0, 2]",0,0,0.000000
random,23,4,"[2, 0, 3, 1]",0,43,0.000000
HC,23,4,"[3, 1, 0, 2]",1,37,0.000000
HCR,23,4,"[1, 3, 0, 2]",0,112,0.001029
SA,23,4,"[2, 0, 3, 1]",0,49,0.000000
GA,23,4,"[2, 0, 3, 1]",0,0,0.000000
random,24,4,"[2, 0, 3, 1]",0,584,0.001997
HC,24,4,"[2, 0, 3, 1]",0,37,0.000000
HCR,24,4,"[2, 0, 3, 1]",0,37,0.001084
SA,24,4,"[1, 3, 0, 2]",0,59,0.000000
GA,24,4,"[1, 3, 0, 2]",0,2,0.002268
random,25,4,"[1, 3, 0, 2]",0,425,0.001344
HC,25,4,"[3, 1, 0, 2]",1,37,0.001005
HCR,25,4,"[1, 3, 0, 2]",0,87,0.000000
SA,25,4,"[1, 3, 0, 2]",0,22,0.000000
GA,25,4,"[1, 3, 0, 2]",0,1,0.001145
random,26,4,"[1, 3, 0, 2]",0,47,0.000000
HC,26,4,"[2, 1, 3, 0]",1,25,0.000000
HCR,26,4,"[1, 3, 0, 2]",0,38,0.000000
SA,26,4,"[2, 0, 3, 1]",0,84,0.000000
GA,26,4,"[1, 3, 0, 2]",0,0,0.000000
random,27,4,"[1, 3, 0, 2]",0,16,0.000000
HC,27,4,"[3, 0, 2, 1]",1,25,0.000000
HCR,27,4,"[2, 0, 3, 1]",0,75,0.000000
SA,27,4,"[1, 3, 0, 2]",0,195,0.001068
GA,27,4,"[1, 3, 0, 2]",0,0,0.000000
random,28,4,"[1, 3, 0, 2]",0,43,0.000000
HC,28,4,"[0, 2, 3, 1]",1,37,0.000000
HCR,28,4,"[2, 0, 3, 1]",0,74,0.000000
SA,28,4,"[1, 3, 0, 2]",0,40,0.000000
GA,28,4,"[1, 3, 0, 2]",0,0,0.001054
random,29,4,"[2, 0, 3, 1]",0,11,0.000000
HC,29,4,"[1, 3, 2, 0]",1,37,0.000000
HCR,29,4,"[2, 0, 3, 1]",0,62,0.000000
SA,29,4,"[2, 0, 3, 1]",0,109,0.001079
GA,29,4,"[2, 0, 3, 1]",0,0,0.000000
random,0,8,"[2, 0, 5, 7, 0, 3, 6, 4]",1,20000,0.142451
HC,0,8,"[6, 3, 5, 2, 1, 6, 4, 7]",2,281,0.002094
HCR,0,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,450,0.002264
SA,0,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,976,0.005502
GA,0,8,"[0, 4, 7, 1, 6, 2, 5, 1]",1,20000,39.891481
random,1,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,18366,0.128637
HC,1,8,"[5, 2, 4, 1, 7, 0, 3, 6]",1,281,0.001437
HCR,1,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,956,0.004267
SA,1,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,935,0.005221
GA,1,8,"[1, 6, 4, 0, 7, 5, 2, 2]",1,20000,39.784064
