algorithm_name,env_n,size,best_solution,H,states,time
HC,12,10,"[9, 1, 8, 5, 0, 6, 0, 5, 7, 4]",2,361,0.002176
HCR,12,10,"[4, 0, 8, 3, 5, 7, 9, 1, 6, 2]",0,1534,0.010510
SA,12,10,"[7, 4, 6, 0, 9, 1, 5, 2, 8, 3]",0,3885,0.031785
GA,12,10,"[7, 3, 1, 6, 8, 0, 4, 1, 5, 2]",1,20000,58.855329
random,13,10,"[6, 9, 5, 2, 7, 3, 8, 8, 1, 4]",2,20000,0.203840
HC,13,10,"[4, 4, 9, 0, 6, 3, 7, 2, 1, 8]",2,451,0.002992
HCR,13,10,"[1, 7, 9, 2, 8, 5, 3, 0, 6, 4]",0,1533,0.012571
SA,13,10,"[4, 7, 1, 6, 9, 0, 6, 8, 2, 5]",1,4606,0.039738
GA,13,10,"[6, 2, 9, 1, 4, 2, 8, 3, 7, 0]",1,20000,59.460941
random,14,10,"[4, 8, 0, 3, 0, 7, 5, 1, 9, 6]",2,20000,0.198324
HC,14,10,"[1, 9, 7, 3, 0, 2, 5, 1, 6, 4]",1,541,0.003210
HCR,14,10,"[3, 8, 4, 7, 0, 2, 5, 1, 6, 9]",0,3337,0.024102
SA,14,10,"[5, 0, 2, 4, 6, 9, 3, 1, 4, 7]",1,4606,0.038248
GA,14,10,"[4, 1, 3, 8, 6, 9, 0, 2, 5, 7]",1,20000,59.621173
random,15,10,"[6, 2, 2, 7, 1, 8, 4, 9, 3, 0]",2,20000,0.201852
HC,15,10,"[4, 0, 8, 0, 7, 3, 6, 9, 1, 5]",1,541,0.003140
HCR,15,10,"[0, 4, 6, 9, 3, 1, 8, 2, 5, 7]",0,2977,0.021263
SA,15,10,"[2, 4, 1, 7, 9, 6, 3, 0, 8, 5]",0,693,0.005149
GA,15,10,"[7, 2, 4, 8, 0, 5, 9, 6, 1, 3]",0,16263,48.166770
random,16,10,"[4, 9, 1, 5, 2, 0, 6, 8, 1, 3]",2,20000,0.200804
HC,16,10,"[6, 1, 7, 0, 8, 3, 9, 0, 2, 4]",1,631,0.004507
HCR,16,10,"[4, 2, 8, 5, 7, 1, 3, 0, 6, 9]",0,12448,0.086760
SA,16,10,"[6, 4, 9, 0, 3, 5, 2, 8, 1, 7]",0,2180,0.018312
GA,16,10,"[0, 3, 6, 9, 7, 2, 4, 8, 1, 5]",0,135,0.395104
random,17,10,"[6, 0, 5, 7, 1, 6, 8, 2, 4, 3]",2,20000,0.197510
HC,17,10,"[3, 6, 9, 7, 4, 2, 8, 5, 1, 0]",2,541,0.003565
HCR,17,10,"[0, 6, 4, 1, 7, 9, 2, 8, 5, 3]",0,2976,0.019695
SA,17,10,"[6, 8, 2, 7, 1, 3, 5, 0, 9, 4]",0,667,0.006479
GA,17,10,"[6, 3, 0, 7, 5, 2, 9, 1, 8, 4]",0,376,1.106497
random,18,10,"[3, 0, 6, 9, 2, 8, 1, 4, 2, 5]",2,20000,0.215284
HC,18,10,"[6, 1, 7, 5, 3, 0, 9, 4, 2, 7]",1,451,0.002993
HCR,18,10,"[5, 2, 6, 9, 3, 8, 0, 4, 1, 7]",0,3609,0.024384
SA,18,10,"[6, 3, 5, 0, 8, 4, 2, 7, 9, 1]",0,1369,0.010111
GA,18,10,"[0, 3, 5, 9, 1, 4, 2, 8, 3, 7]",1,20000,61.612098
random,19,10,"[1, 4, 0, 7, 9, 2, 6, 1, 3, 0]",2,20000,0.200245
HC,19,10,"[6, 3, 1, 7, 2, 0, 5, 8, 4, 9]",2,541,0.004470
HCR,19,10,"[4, 6, 8, 2, 7, 3, 0, 9, 1, 5]",0,2345,0.016317
SA,19,10,"[6, 3, 1, 8, 4, 9, 7, 5, 2, 0]",0,533,0.004986
GA,19,10,"[8, 5, 2, 4, 1, 7, 9, 3, 6, 0]",0,11500,35.513744
random,20,10,"[8, 5, 7, 1, 0, 2, 6, 9, 2, 4]",2,20000,0.195453
HC,20,10,"[0, 4, 1, 5, 9, 2, 0, 8, 6, 1]",2,271,0.002038
HCR,20,10,"[5, 0, 4, 6, 8, 2, 7, 1, 3, 9]",0,1263,0.008983
SA,20,10,"[3, 0, 7, 1, 8, 5, 2, 9, 6, 4]",1,4606,0.036029
GA,20,10,"[2, 6, 1, 4, 8, 3, 9, 7, 5, 0]",1,20000,60.488352
random,21,10,"[5, 8, 1, 3, 0, 9, 7, 9, 3, 6]",2,20000,0.195930
HC,21,10,"[9, 6, 4, 0, 7, 3, 1, 8, 2, 5]",1,541,0.003354
HCR,21,10,"[4, 6, 9, 5, 2, 0, 7, 3, 1, 8]",0,2075,0.020517
SA,21,10,"[2, 6, 1, 7, 5, 0, 9, 4, 8, 3]",0,722,0.007257
GA,21,10,"[4, 9, 5, 3, 5, 0, 8, 1, 7, 2]",1,20000,58.765743
random,22,10,"[2, 4, 6, 0, 9, 1, 7, 5, 8, 8]",2,20000,0.202533
HC,22,10,"[8, 3, 0, 9, 7, 2, 0, 6, 1, 5]",1,451,0.002312
HCR,22,10,"[1, 7, 9, 2, 8, 5, 3, 0, 6, 4]",0,2435,0.019657
SA,22,10,"[4, 2, 0, 8, 6, 1, 9, 7, 5, 3]",0,444,0.004164
GA,22,10,"[1, 7, 9, 6, 0, 2, 0, 5, 8, 4]",1,20000,59.735736
random,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,20000,0.197962
HC,23,10,"[4, 1, 7, 9, 3, 0, 0, 8, 5, 2]",1,451,0.003274
HCR,23,10,"[8, 1, 4, 2, 0, 9, 7, 5, 3, 6]",0,2255,0.015836
SA,23,10,"[5, 7, 1, 6, 8, 2, 0, 3, 9, 4]",0,1373,0.010437
GA,23,10,"[6, 8, 5, 2, 0, 7, 4, 1, 3, 9]",0,6,0.022928
random,24,10,"[6, 9, 5, 0, 4, 1, 8, 2, 7, 3]",1,20000,0.205276
HC,24,10,"[6, 9, 2, 0, 5, 3, 8, 1, 7, 4]",1,451,0.003181
HCR,24,10,"[3, 1, 6, 4, 9, 0, 8, 5, 7, 2]",0,8930,0.061696
SA,24,10,"[8, 1, 4, 9, 7, 0, 3, 6, 2, 5]",0,638,0.005714
GA,24,10,"[5, 2, 6, 1, 7, 5, 3, 0, 4, 8]",1,20000,59.775697
random,25,10,"[5, 1, 1, 4, 0, 8, 0, 9, 6, 2]",2,20000,0.198293
HC,25,10,"[6, 8, 1, 5, 7, 0, 4, 0, 4, 9]",2,361,0.003479
HCR,25,10,"[3, 5, 8, 2, 0, 7, 1, 4, 6, 9]",0,1894,0.013308
SA,25,10,"[2, 9, 5, 8, 0, 3, 6, 8, 1, 4]",1,4606,0.038358
GA,25,10,"[9, 4, 6, 0, 3, 1, 7, 5, 8, 2]",0,54,0.157842
random,26,10,"[7, 3, 6, 9, 4, 1, 4, 2, 5, 8]",2,20000,0.194506
HC,26,10,"[6, 3, 0, 4, 8, 0, 2, 7, 1, 9]",2,451,0.003123
HCR,26,10,"[8, 5, 1, 9, 0, 6, 3, 7, 2, 4]",0,13079,0.089814
SA,26,10,"[5, 7, 1, 6, 8, 2, 0, 3, 9, 4]",0,2591,0.023376
GA,26,10,"[6, 8, 5, 2, 0, 7, 4, 1, 3, 9]",0,1612,4.749383
random,27,10,"[3, 6, 0, 9, 1, 5, 8, 8, 2, 4]",2,20000,0.199868
HC,27,10,"[7, 0, 6, 9, 1, 1, 4, 8, 5, 2]",2,451,0.003119
HCR,27,10,"[4, 1, 3, 9, 6, 8, 0, 2, 7, 5]",0,7308,0.051934
SA,27,10,"[3, 1, 4, 8, 0, 9, 7, 5, 2, 6]",0,548,0.004130
GA,27,10,"[2, 6, 3, 7, 5, 1, 9, 4, 0, 8]",1,20000,59.943794
random,28,10,"[5, 7, 1, 8, 0, 8, 4, 2, 9, 3]",2,20000,0.198187
HC,28,10,"[1, 3, 8, 6, 2, 0, 2, 7, 5, 3]",2,451,0.003449
HCR,28,10,"[0, 4, 7, 1, 6, 9, 2, 8, 5, 3]",0,13622,0.095359
SA,28,10,"[0, 7, 5, 2, 8, 1, 4, 9, 3, 6]",0,202,0.002320
GA,28,10,"[7, 1, 3, 5, 0, 9, 4, 6, 8, 2]",1,20000,60.582146
random,29,10,"[2, 6, 1, 9, 5, 8, 0, 7, 3, 5]",2,20000,0.200553
HC,29,10,"[8, 3, 0, 9, 9, 4, 1, 7, 2, 6]",1,451,0.003237
HCR,29,10,"[6, 9, 2, 4, 8, 0, 3, 1, 7, 5]",0,1082,0.007322
SA,29,10,"[5, 3, 1, 9, 7, 2, 0, 8, 6, 4]",0,809,0.007637
GA,29,10,"[1, 9, 2, 6, 8, 3, 0, 4, 7, 5]",0,710,2.167856
