"Fold","Accuracy","Precision","Sensitivity","Specificity"
"Fold1",0.770025839793282,0.765432098765432,0.987610619469027,0.181818181818182
"Fold2",0.782664941785252,0.81057268722467,0.934010152284264,0.291208791208791
"Fold3",0.771317829457364,0.782420749279539,0.954305799648506,0.263414634146341
"Fold4",0.798188874514877,0.815078236130868,0.956594323873122,0.252873563218391
"Fold5",0.741602067183463,0.743626062322946,0.965073529411765,0.21304347826087
