Agente;Tamaño (N×N);Suciedad (%);Suciedad inicial;Celdas limpiadas;Acciones totales;Rendimiento final
YourNameAgent;16;0.4;102;11;50;0
YourNameAgent;16;0.4;102;3;23;0
YourNameAgent;16;0.4;102;6;26;0
YourNameAgent;16;0.4;102;7;26;0
YourNameAgent;16;0.4;102;4;16;0
YourNameAgent;16;0.4;102;4;14;0
YourNameAgent;16;0.4;102;7;25;0
YourNameAgent;16;0.4;102;16;62;0
YourNameAgent;16;0.8;204;12;26;0
YourNameAgent;16;0.8;204;5;14;0
YourNameAgent;16;0.8;204;10;23;0
YourNameAgent;16;0.8;204;13;32;0
YourNameAgent;16;0.8;204;29;64;0
YourNameAgent;16;0.8;204;7;16;0
YourNameAgent;16;0.8;204;8;18;0
YourNameAgent;16;0.8;204;13;30;0
YourNameAgent;16;0.8;204;32;70;0
YourNameAgent;16;0.8;204;21;48;0
YourNameAgent;32;0.1;102;10;78;0
YourNameAgent;32;0.1;102;4;66;0
YourNameAgent;32;0.1;102;5;76;0
YourNameAgent;32;0.1;102;7;77;0
YourNameAgent;32;0.1;102;16;170;0
YourNameAgent;32;0.1;102;9;83;0
YourNameAgent;32;0.1;102;1;15;0
YourNameAgent;32;0.1;102;7;84;0
YourNameAgent;32;0.1;102;11;83;0
YourNameAgent;32;0.1;102;11;85;0
YourNameAgent;32;0.2;204;16;86;0
YourNameAgent;32;0.2;204;11;84;0
YourNameAgent;32;0.2;204;15;84;0
YourNameAgent;32;0.2;204;11;83;0
YourNameAgent;32;0.2;204;23;85;0
YourNameAgent;32;0.2;204;17;84;0
YourNameAgent;32;0.2;204;7;38;0
YourNameAgent;32;0.2;204;17;94;0
YourNameAgent;32;0.2;204;19;122;0
YourNameAgent;32;0.2;204;17;85;0
YourNameAgent;32;0.4;409;24;88;0
YourNameAgent;32;0.4;409;23;85;0
YourNameAgent;32;0.4;409;31;92;0
YourNameAgent;32;0.4;409;31;97;0
YourNameAgent;32;0.4;409;22;97;0
YourNameAgent;32;0.4;409;31;104;0
YourNameAgent;32;0.4;409;0;1;0
YourNameAgent;32;0.4;409;0;0;0
YourNameAgent;32;0.4;409;0;0;0
YourNameAgent;32;0.4;409;6;14;0
YourNameAgent;32;0.8;819;6;13;0
YourNameAgent;32;0.8;819;0;0;0
YourNameAgent;32;0.8;819;5;13;0
YourNameAgent;32;0.8;819;5;13;0
YourNameAgent;32;0.8;819;11;26;0
YourNameAgent;32;0.8;819;7;16;0
YourNameAgent;32;0.8;819;8;18;0
YourNameAgent;32;0.8;819;12;27;0
YourNameAgent;32;0.8;819;1;1;0
YourNameAgent;32;0.8;819;0;0;0
YourNameAgent;64;0.1;409;3;37;0
YourNameAgent;64;0.1;409;1;10;0
YourNameAgent;64;0.1;409;2;28;0
YourNameAgent;64;0.1;409;1;21;0
YourNameAgent;64;0.1;409;4;18;0
YourNameAgent;64;0.1;409;0;4;0
YourNameAgent;64;0.1;409;3;18;0
