size,dirtrate,performance,time
2,0.1,0,0.0
2,0.1,1,0.0
2,0.1,0,0.0
2,0.1,0,0.0062825679779052734
2,0.1,0,0.001003265380859375
2,0.1,0,0.0010006427764892578
2,0.1,1,0.0009987354278564453
2,0.1,0,0.0011582374572753906
2,0.1,0,0.0
2,0.1,0,0.0
2,0.2,0,0.0
2,0.2,3,0.0
2,0.2,1,0.0
2,0.2,1,0.01250457763671875
2,0.2,1,0.003003835678100586
2,0.2,1,0.001680612564086914
2,0.2,0,0.0
2,0.2,0,0.0
2,0.2,1,0.0
2,0.2,1,0.0
2,0.4,0,0.0
2,0.4,2,0.012976646423339844
2,0.4,1,0.00048470497131347656
2,0.4,2,0.0
2,0.4,2,0.0
2,0.4,3,0.0
2,0.4,0,0.0
2,0.4,1,0.0
2,0.4,0,0.0
2,0.4,3,0.015210390090942383
2,0.8,3,0.002004861831665039
2,0.8,4,0.0011587142944335938
2,0.8,4,0.0
2,0.8,4,0.0
2,0.8,4,0.0
2,0.8,4,0.0
2,0.8,4,0.013427734375
2,0.8,3,0.002004384994506836
2,0.8,3,0.0010006427764892578
2,0.8,3,0.00247955322265625
4,0.1,2,0.0
4,0.1,3,0.0
4,0.1,2,0.0
4,0.1,1,0.0
4,0.1,0,0.011174678802490234
4,0.1,2,0.0021696090698242188
4,0.1,4,0.0
4,0.1,1,0.0
4,0.1,1,0.0
4,0.1,1,0.0
4,0.2,3,0.0
4,0.2,6,0.0
4,0.2,6,0.0
4,0.2,4,0.0
4,0.2,4,0.0
4,0.2,2,0.015484333038330078
4,0.2,4,0.0007102489471435547
4,0.2,1,0.0
4,0.2,2,0.0
4,0.2,3,0.0
4,0.4,7,0.0
4,0.4,8,0.0
4,0.4,8,0.0
4,0.4,8,0.0
4,0.4,6,0.0
4,0.4,7,0.0
4,0.4,4,0.0
4,0.4,10,0.0
4,0.4,7,0.015918254852294922
4,0.4,6,0.0006775856018066406
4,0.8,14,0.0
4,0.8,13,0.0
4,0.8,13,0.0
4,0.8,11,0.0
4,0.8,13,0.0
4,0.8,14,0.0
4,0.8,12,0.0
4,0.8,14,0.0
4,0.8,13,0.0
4,0.8,10,0.0
8,0.1,10,0.0009999275207519531
8,0.1,5,0.0
8,0.1,3,0.0
8,0.1,8,0.0
8,0.1,6,0.0
8,0.1,9,0.0
8,0.1,7,0.0
8,0.1,5,0.0
8,0.1,8,0.0
8,0.1,9,0.0
8,0.2,9,0.01464390754699707
8,0.2,14,0.0016872882843017578
8,0.2,10,0.0
8,0.2,9,0.0
8,0.2,18,0.0
8,0.2,14,0.0
8,0.2,16,0.0
8,0.2,17,0.0
8,0.2,16,0.0
8,0.2,15,0.0
8,0.4,21,0.0
8,0.4,24,0.0
8,0.4,22,0.016721248626708984
8,0.4,27,0.0
8,0.4,27,0.0
8,0.4,18,0.0
8,0.4,27,0.0
8,0.4,26,0.0
8,0.4,25,0.0
8,0.4,18,0.0
8,0.8,50,0.016923904418945312
8,0.8,48,0.0019981861114501953
8,0.8,54,0.0006670951843261719
8,0.8,50,0.0
8,0.8,46,0.0
8,0.8,50,0.0
8,0.8,52,0.0
8,0.8,53,0.0
8,0.8,54,0.0
8,0.8,53,0.0
16,0.1,16,0.0013647079467773438
16,0.1,18,0.0019998550415039062
16,0.1,18,0.00099945068359375
16,0.1,19,0.0020008087158203125
16,0.1,13,0.0022726058959960938
16,0.1,10,0.0010728836059570312
16,0.1,16,0.0014727115631103516
16,0.1,22,0.0010066032409667969
16,0.1,19,0.0010035037994384766
16,0.1,18,0.0011334419250488281
16,0.2,40,0.0010111331939697266
16,0.2,34,0.0013322830200195312
16,0.2,25,0.00109100341796875
16,0.2,43,0.0
16,0.2,36,0.0025506019592285156
16,0.2,20,0.0012183189392089844
16,0.2,35,0.002301931381225586
16,0.2,34,0.0010027885437011719
16,0.2,29,0.0021817684173583984
16,0.2,20,0.0014605522155761719
16,0.4,65,0.002878904342651367
16,0.4,65,0.0017538070678710938
16,0.4,72,0.0015115737915039062
16,0.4,67,0.0010197162628173828
16,0.4,76,0.0012042522430419922
16,0.4,52,0.0017354488372802734
16,0.4,78,0.001005411148071289
16,0.4,65,0.0014827251434326172
16,0.4,39,0.0014848709106445312
16,0.4,85,0.0010008811950683594
16,0.8,150,0.0010042190551757812
16,0.8,143,0.0023136138916015625
16,0.8,121,0.0016787052154541016
16,0.8,125,0.0025398731231689453
16,0.8,138,0.0012407302856445312
16,0.8,100,0.0010044574737548828
16,0.8,128,0.0011775493621826172
16,0.8,135,0.0010077953338623047
16,0.8,111,0.0020363330841064453
16,0.8,131,0.0017943382263183594
32,0.1,21,0.002124309539794922
32,0.1,24,0.001001596450805664
32,0.1,27,0.0011742115020751953
32,0.1,28,0.0020895004272460938
32,0.1,21,0.0013110637664794922
32,0.1,30,0.002000093460083008
32,0.1,27,0.0010001659393310547
32,0.1,20,0.0022614002227783203
32,0.1,37,0.0013763904571533203
32,0.1,40,0.0010001659393310547
32,0.2,55,0.002218484878540039
32,0.2,58,0.0009989738464355469
32,0.2,49,0.002074003219604492
32,0.2,50,0.0015904903411865234
32,0.2,40,0.0010256767272949219
32,0.2,42,0.0010120868682861328
32,0.2,41,0.001935720443725586
32,0.2,73,0.002025127410888672
32,0.2,53,0.0010023117065429688
32,0.2,53,0.002053499221801758
32,0.4,102,0.0012135505676269531
32,0.4,68,0.0018188953399658203
32,0.4,144,0.0010018348693847656
32,0.4,89,0.0011105537414550781
32,0.4,88,0.002183675765991211
32,0.4,125,0.0
32,0.4,103,0.0010318756103515625
32,0.4,86,0.001003265380859375
32,0.4,104,0.0010037422180175781
32,0.4,104,0.0010037422180175781
32,0.8,225,0.0010042190551757812
32,0.8,122,0.002009868621826172
32,0.8,202,0.0009982585906982422
32,0.8,163,0.002454519271850586
32,0.8,110,0.0012197494506835938
32,0.8,159,0.002204418182373047
32,0.8,207,0.0016603469848632812
32,0.8,208,0.001580953598022461
32,0.8,191,0.002000570297241211
32,0.8,193,0.0009915828704833984
64,0.1,24,0.0
64,0.1,28,0.0
64,0.1,13,0.0
64,0.1,24,0.0
64,0.1,41,0.012232780456542969
64,0.1,25,0.0030345916748046875
64,0.1,38,0.0019991397857666016
64,0.1,21,0.0019996166229248047
64,0.1,29,0.0019998550415039062
64,0.1,29,0.0009999275207519531
64,0.2,69,0.003396749496459961
64,0.2,75,0.001999378204345703
64,0.2,48,0.001209259033203125
64,0.2,57,0.0020487308502197266
64,0.2,47,0.001016378402709961
64,0.2,45,0.001003265380859375
64,0.2,19,0.0022537708282470703
64,0.2,60,0.0019986629486083984
64,0.2,54,0.002200603485107422
64,0.2,51,0.0010039806365966797
64,0.4,87,0.0033059120178222656
64,0.4,88,0.0010001659393310547
64,0.4,96,0.001313924789428711
64,0.4,77,0.0
64,0.4,111,0.0
64,0.4,127,0.0
64,0.4,88,0.0
64,0.4,136,0.0
64,0.4,85,0.0
64,0.4,114,0.0
64,0.8,221,0.0
64,0.8,154,0.015674114227294922
64,0.8,191,0.0
64,0.8,157,0.0
64,0.8,273,0.0
64,0.8,146,0.0
64,0.8,217,0.0
64,0.8,230,0.0
64,0.8,238,0.0
64,0.8,218,0.0
128,0.1,32,0.0
128,0.1,30,0.0
128,0.1,25,0.0
128,0.1,34,0.0
128,0.1,24,0.0
128,0.1,12,0.0
128,0.1,34,0.0
128,0.1,27,0.015744447708129883
128,0.1,35,0.0
128,0.1,23,0.0
128,0.2,69,0.0
128,0.2,59,0.0
128,0.2,73,0.0
128,0.2,61,0.0
128,0.2,51,0.0
128,0.2,56,0.01623821258544922
128,0.2,57,0.0
128,0.2,38,0.0035653114318847656
128,0.2,45,0.0014264583587646484
128,0.2,39,0.0
128,0.4,93,0.0
128,0.4,123,0.0
128,0.4,69,0.0
128,0.4,128,0.0
128,0.4,150,0.0
128,0.4,136,0.015332221984863281
128,0.4,85,0.0020334720611572266
128,0.4,131,0.002033233642578125
128,0.4,70,0.002033233642578125
128,0.4,94,0.0020351409912109375
128,0.8,240,0.0020322799682617188
128,0.8,259,0.002032041549682617
128,0.8,270,0.0020322799682617188
128,0.8,208,0.002473592758178711
128,0.8,116,0.0019981861114501953
128,0.8,262,0.0019996166229248047
128,0.8,206,0.0020008087158203125
128,0.8,275,0.0024871826171875
128,0.8,291,0.0020246505737304688
128,0.8,217,0.0020329952239990234
