algorithm,N,seed,found,time,nodes
forward,10,21,1,0.001199,83
backtracking,10,22,1,0.000000,975
forward,10,22,1,0.000000,83
backtracking,10,23,1,0.001047,975
forward,10,23,1,0.001036,83
backtracking,10,24,1,0.000000,975
forward,10,24,1,0.000000,83
backtracking,10,25,1,0.002137,975
forward,10,25,1,0.000000,83
backtracking,10,26,1,0.001280,975
forward,10,26,1,0.000000,83
backtracking,10,27,1,0.002431,975
forward,10,27,1,0.001040,83
backtracking,10,28,1,0.000000,975
forward,10,28,1,0.001461,83
backtracking,10,29,1,0.001071,975
forward,10,29,1,0.000000,83
